"_id","str_name","str_city_id","str_type","str_gps","str_google_name"
"92","Московское","1","ш.","43,036258 44,641399 43,026141 44,644318 43,026008 44,644371 43,025941 44,644409 43,025741 44,644586 43,025639 44,644688 43,025506 44,644763 43,025353 44,644763 43,025235 44,644682 43,025083 44,644634 43,024945 44,644629 43,024777 44,644666 43,022071 44,64546 43,021404 44,645691 43,020835 44,645911 43,019804 44,646399 43,014681 44,649349 43,01385 44,649768 43,013214 44,650015 43,012336 44,650272 43,011645 44,650401 43,009284 44,650562 43,008339 44,650707 42,995325 44,655218 42,994117 44,655862 42,983899 44,666247 42,979865 44,668028 42,976179 44,668307 42,969958 44,666784 42,961228 44,665303 42,958904 44,66526 42,957412 44,665432 42,955433 44,666076 42,954083 44,664874 42,951805 44,663222 42,950879 44,66305 42,949999 44,6626 42,944376 44,658244 42,941973 44,655411 42,939098 44,652536 42,936538 44,644983 42,932422 44,638567 ",""
"93","Мамисонский","1","пер.","43,027467 44,674648 43,026675 44,672722 ",""
"94","Парковый","1","пер.","",""
"95","Школьный","1","пер.","43,02773 44,669107 43,027255 44,667647 ",""
"96","Ардонская","1","ул.","43,042038 44,657997 43,041963 44,657997 43,041481 44,658287 43,040426 44,659 43,040403 44,659081 43,038066 44,660609 43,037137 44,661248 43,035949 44,662085 43,03487 44,662857 43,034035 44,663469 43,032192 44,664681 43,030326 44,665748 43,030126 44,665883 43,018651 44,672846 43,017294 44,673645 43,016168 44,674439 43,013669 44,675817 ",""
"97","Б.Ватаева","1","ул.","43,035843 44,667765 43,034898 44,668747 43,034474 44,669305 43,03427 44,669514 43,03358 44,670185 43,033082 44,670603 43,033023 44,670673 43,033004 44,67078 43,033 44,670898 43,032823 44,670469 43,031435 44,671252 43,027141 44,673811 ","Бибо Ватаева"
"98","Барбашова","1","ул.","43,030667 44,667508 43,030059 44,665738 43,029608 44,664466 43,029079 44,661849 43,028581 44,659885 43,028232 44,658673 43,027886 44,657401 43,027592 44,656414 43,026863 44,654145 43,026235 44,652134 43,02542 44,649725 43,025384 44,649516 43,025459 44,645262 ",""
"99","Бр.Газдановых","1","ул.","43,026502 44,669884 43,025098 44,66555 43,024686 44,664311 43,024353 44,663184 43,02411 44,662498 43,023647 44,661087 ","Братьев Газдановых"
"100","Гагарина","1","ул.","43,028624 44,668581 43,024455 44,656017 43,02429 44,655653 43,022643 44,651066 ",""
"101","Гастелло","1","ул.","43,026384 44,661902 43,010551 44,671354 43,009131 44,671386 43,00806 44,671451 ",""
"102","Гизельская","1","ул.","",""
"103","Гончарова","1","ул.","43,029051 44,661843 43,02673 44,662964 43,020008 44,667084 43,018651 44,667814 43,008076 44,674305 ",""
"105","Кирова","1","ул.","43,037325 44,687641 43,037242 44,687646 43,037152 44,687614 43,035851 44,686734 43,035772 44,686616 43,035709 44,686503 43,035658 44,686353 43,035627 44,686198 43,034729 44,678435 43,034113 44,67527 43,033043 44,671081 43,032471 44,669305 ",""
"106","Коцоева","1","ул.","43,017054 44,679964 43,017831 44,679776 43,017933 44,679825 43,01931 44,679546 43,020412 44,67917 43,020584 44,679095 43,023365 44,677336 43,025279 44,676027 43,025981 44,675603 43,027369 44,674696 43,027671 44,674648 43,029381 44,673597 43,030118 44,673017 43,033074 44,671279 ",""
"107","Кцоева","1","ул.","43,026522 44,666129 43,025133 44,661838 43,024643 44,660502 ",""
"108","Кырджалийская","1","ул.","43,014575 44,657831 43,020125 44,654135 43,019753 44,65296 43,025365 44,649269 ",""
"109","Ларионова","1","ул.","43,029384 44,673564 43,028784 44,671521 43,028498 44,670442 43,02809 44,669128 ",""
"110","Нальчикская","1","ул.","43,025981 44,675576 43,024855 44,672288 43,024518 44,671365 43,024016 44,669632 43,023475 44,668023 43,023086 44,666762 43,02231 44,66444 ",""
