_id,cat_name,cat_name2
720,"АНТЕННЫ – ТЕЛЕВИЗИОННЫЕ, СПУТНИКОВЫЕ",Бытовая техника и электроника
740,АПТЕКИ ,Аптеки
750,"АСФАЛЬТ – ПРОИЗВОДСТВО, ПРОДАЖА",Дороги
760,АТЕЛЬЕ – ПОШИВ ТЕАТРАЛЬНЫХ КОСТЮМОВ,Ателье по пошиву одежды
770,"АТЕЛЬЕ ПОШИВА, РЕМОНТА",Ателье по пошиву одежды
790,"АТЕЛЬЕ ПОШИВА, РЕМОНТА – КОЖАНЫЕ И МЕХОВЫЕ ИЗДЕЛИЯ",Ателье по пошиву одежды
800,"АТЕЛЬЕ ПОШИВА, РЕМОНТА – НАЦИОНАЛЬНАЯ ОДЕЖДА",Ателье по пошиву одежды
810,"АУДИО-, ВИДЕОАППАРАТУРА – ОБСЛУЖИВАНИЕ, РЕМОНТ",Бытовая техника и электроника
830,"АУДИО-, ВИДЕОКАССЕТЫ, КОМПАКТ-ДИСКИ, DVD – ПРОДАЖА",Бытовая техника и электроника
840,АУДИТОРСКИЕ И БУХГАЛТЕРСКИЕ УСЛУГИ,Аудит и бухгалтерия
850,БАГЕТ – ПРОДАЖА,Декоративно-прикладное искусство
860,БАНИ И САУНЫ,Бани и сауны
870,"БАНИ, САУНЫ, КАМИНЫ, ПЕЧИ – ПРОДАЖА И МОНТАЖ ОБОРУДОВАНИЯ",Строительные
890,БАНКИ ,Банки
900,БАНКИ – ПУНКТЫ ОБМЕНА ВАЛЮТЫ,Банкоматы
920,"БАССЕЙНЫ, ФОНТАНЫ – СТРОИТЕЛЬСТВО",Строительные компании
930,"БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА",Продукты
940,БЕЛЬЕ – ПРОДАЖА ,Одежда и обувь
960,"БЕТОН – ПРОИЗВОДСТВО, ПРОДАЖА",Строительные
970,БИБЛИОТЕКИ,Библиотеки
980,"БИЖУТЕРИЯ, ГАЛАНТЕРЕЯ, КОЖГАЛАНТЕРЕЯ – ПРОДАЖА",Ювелирные
1000,"БИЛЕТЫ  АВИА-,  Ж/Д ТРАНСПОРТ – ПРОДАЖА, ЗАКАЗ ",Авиа- и ж/д билеты
1010,БИЛЬЯРД,Бильярд
1030,БОЛЬНИЦЫ ,Больницы
1060,"БУКМЕКЕРЫ, ЛОТЕРЕЙНЫЕ КЛУБЫ","Букмекеры, Лотереи"
1070,"БУМАГА, КАРТОН – ПРОДАЖА, ПРОИЗВОДСТВО",Канцтовары
1080,БУХГАЛТЕРСКИЕ ПРОГРАММЫ,Аудит и бухгалтерия
1090,БЫТОВАЯ ТЕХНИКА – ПРОДАЖА ,Бытовая техника и электроника
1100,БЫТОВАЯ ТЕХНИКА – РЕМОНТ,Ремонт
1110,БЫТОВАЯ ХИМИЯ – ПРОДАЖА ,Хозтовары
1120,БЫТОВЫЕ УСЛУГИ ,Бытовые услуги
1130,БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ,
1150,"ВЕНТИЛЯЦИОННЫЕ СИСТЕМЫ – ИЗГОТОВЛЕНИЕ, МОНТАЖ, РЕМОНТ",Вентиляция и кондиционеры
1170,"ВЕТЕРИНАРНЫЕ КЛИНИКИ, СТАНЦИИ, УЧАСТКИ",Ветеринарные клиники;Ветпомощь на дому
1240,ВИТРАЖИ – ИЗГОТОВЛЕНИЕ,Витражи
1250,"ВОДА МИНЕРАЛЬНАЯ, ПИТЬЕВАЯ – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА",Продукты
