_id,cat_name,cat_name2
4140,СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОДАЖА,Строительные;Строительные магазины;Отделочные материалы
4150,СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОИЗВОДСТВО,Строительные;Строительные магазины;Отделочные материалы
4170,"СТРОИТЕЛЬНЫЕ КОНСТРУКЦИИ – ПРОИЗВОДСТВО, ПРОДАЖА",Строительные
4180,СТРОИТЕЛЬНЫЕ РАБОТЫ – ГИДРОИЗОЛЯЦИОННЫЕ И ГИДРОТЕХНИЧЕСКИЕ,Строительно-отделочные работы
4190,СТРОИТЕЛЬНЫЕ РАБОТЫ – ЗЕМЛЯНЫЕ,Строительно-отделочные работы
4200,СТРОИТЕЛЬНЫЕ РАБОТЫ – КРОВЕЛЬНЫЕ,Строительно-отделочные работы
4210,СТРОИТЕЛЬНЫЕ РАБОТЫ – МОНТАЖНЫЕ,Строительно-отделочные работы
4220,"СТРОИТЕЛЬНЫЕ, СТРОИТЕЛЬНО-МОНТАЖНЫЕ ОРГАНИЗАЦИИ ",Строительно-отделочные работы
4230,"СУПЕРМАРКЕТЫ, УНИВЕРСАМЫ, УНИВЕРМАГИ",Супермаркеты;Торговые центры
4240,ТАБАЧНЫЕ ИЗДЕЛИЯ – ПРОДАЖА ,Продукты
4250,ТАКСИ ЛЕГКОВЫЕ ,Такси
4260,"ТАНЦЕВАЛЬНЫЕ И МУЗЫКАЛЬНЫЕ АНСАМБЛИ, ОРКЕСТРЫ",Школы танцев
4280,ТЕАТРЫ,Театры
4290,ТЕЛЕВИДЕНИЕ И РАДИОВЕЩАНИЕ,Телевидение и радио
4300,ТЕЛЕФОН – ТЕЛЕФОННАЯ СЕТЬ,Телефон и Интернет
4310,"ТЕЛЕФОН, ТЕЛЕГРАФ – МЕЖДУГОРОДНЫЙ, МЕЖДУНАРОДНЫЙ",Почта и телеграф
4330,ТЕПЛОСЕТЬ – ТЕПЛОСНАБЖЕНИЕ ,ЖКХ
4340,ТИПОГРАФИИ,Полиграфические услуги
4360,ТКАНИ И ШВЕЙНАЯ ФУРНИТУРА – ПРОДАЖА ,Ткань
4380,ТОВАРЫ ДЛЯ БУДУЩИХ МАТЕРЕЙ,Одежда и обувь
4390,ТОПЛИВО – ОПТОВАЯ ПРОДАЖА,АЗС
4400,"ТОРГОВОЕ ОБОРУДОВАНИЕ  – ПРОИЗВОДСТВО, ПРОДАЖА, СЕРВИС",Мебель
4430,ТОРГОВЫЕ ОРГАНИЗАЦИИ – ОПТОВЫЕ ФИРМЫ,
4440,ТОРГОВЫЕ ОРГАНИЗАЦИИ – ПОТРЕБСОЮЗЫ,
4450,ТРАВМАТОЛОГИЧЕСКИЕ ПУНКТЫ,Травмпункты
4470,"ТРОТУАРНАЯ ПЛИТКА – ПРОИЗВОДСТВО, ПРОДАЖА",Строительные
4480,"ТРУБОПРОВОДЫ – СТРОИТЕЛЬСТВО, МОНТАЖ, РЕМОНТ",Строительные компании
4490,ТРУБЫ И ТРУБОПРОВОДНАЯ АРМАТУРА – ПРОДАЖА,Строительные
4500,ТРУДОУСТРОЙСТВО,Центры занятости
4520,ТУРИСТИЧЕСКИЕ ФИРМЫ И ЭКСКУРСИОННЫЕ БЮРО,Турфирмы;Туроператоры
4530,УБОРКА ПОМЕЩЕНИЙ,Уборка
4540,"УПАКОВКА, ТАРА – ПРОДАЖА, УСЛУГИ",Специализированные
4550,"УПАКОВКА, ТАРА – ПРОИЗВОДСТВО",Специализированные
4560,УСЛУГИ – БИЗНЕС ДЛЯ БИЗНЕСА,
4590,ФИТНЕС-КЛУБЫ,Фитнес-клубы
4610,"ФОТОЛАБОРАТОРИИ, ФОТОУСЛУГИ, ФОТОАТЕЛЬЕ",Фотоуслуги
4620,ХИМИЧЕСКАЯ ЧИСТКА И ОКРАШИВАНИЕ,Химчистки
4630,ХЛЕБОПРОДУКТЫ – ПРОИЗВОДСТВО ,Продукты
4640,ХОЗТОВАРЫ – ПРОДАЖА,Хозтовары
4650,ХОРЫ,Школы
4670,"ЦВЕТЫ, ДЕКОРАТИВНЫЕ РАСТЕНИЯ – ПРОДАЖА","Цветы, растения"
4680,ЦЕМЕНТ – ПРОДАЖА,Строительные
4690,"ЦЕННЫЕ БУМАГИ – ОПЕРАЦИИ, РЕЕСТРЫ",
4700,"ЧАЙ, КОФЕ – ПРОДАЖА",Продукты
4710,ЧАСЫ – ПРОДАЖА ,"Аксессуары (очки, часы, кожгалантерея)"
4730,ЧУЛОЧНО-НОСОЧНЫЕ ИЗДЕЛИЯ – ПРОИЗВОДСТВО,Одежда и обувь
4750,ШКОЛЫ – ВЕЧЕРНИЕ,Школы
4751,ШКОЛЫ – ИНТЕРНАТЫ,Школы
4760,ШКОЛЫ – ИСКУССТВ,Школы
4761,ШКОЛЫ – ЛИЦЕИ,Школы
4770,ШКОЛЫ – МОДЕЛЕЙ,Школы
4780,ШКОЛЫ – МУЗЫКАЛЬНЫЕ,Школы
4790,ШКОЛЫ – ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ,Школы
4800,ШКОЛЫ – СПЕЦИАЛИЗИРОВАННЫЕ,Школы
4810,ШКОЛЫ – СПОРТИВНЫЕ,Школы
4820,ШКОЛЫ – ХУДОЖЕСТВЕННЫЕ,Школы
4830,ШКОЛЫ – ЧАСТНЫЕ,Школы
4840,ЭВАКУАЦИЯ ТРАНСПОРТА,Аварийные службы
4850,ЭКОЛОГИЧЕСКИЕ ОРГАНИЗАЦИИ – ОХРАНА ОКРУЖАЮЩЕЙ СРЕДЫ,
4880,ЭЛЕКТРОМОНТАЖНЫЕ И ЭЛЕКТРОТЕХНИЧЕСКИЕ РАБОТЫ,Строительные компании
4900,ЭЛЕКТРОСНАБЖЕНИЕ ,Строительные компании
4910,ЭЛЕКТРОТОВАРЫ – ПРОДАЖА ,Бытовая техника и электроника
4920,"ЭНЕРГЕТИКА – СТРОИТЕЛЬСТВО, ОБСЛУЖИВАНИЕ ОБЪЕКТОВ",Строительные компании
4930,"ЮВЕЛИРНЫЕ ИЗДЕЛИЯ – ИЗГОТОВЛЕНИЕ, РЕМОНТ",Ювелирные
4940,ЮВЕЛИРНЫЕ ИЗДЕЛИЯ – ПРОДАЖА ,Ювелирные
4950,ЮРИДИЧЕСКИЕ КОНСУЛЬТАЦИИ И УСЛУГИ,Юристы
4952,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ГЛАВА РСО-АЛАНИЯ,Органы власти
4953,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПРАВИТЕЛЬСТВО РСО-АЛАНИЯ,Органы власти
4954,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПАРЛАМЕНТ РСО-АЛАНИЯ,Органы власти
4955,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - АДМИНИСТРАЦИЯ Г.ВЛАДИКАВКАЗА,Органы власти
4956,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - АДМИНИСТРАЦИИ МУНИЦИПАЛЬНЫХ ОКРУГОВ Г.ВЛАДИКАВКАЗ,Органы власти
4957,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - АДМИНИСТРАЦИИ РАЙОНОВ РСО-А,Органы власти
4958,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - АГЕНТСТВА,
4959,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - АРХИВЫ,
4960,"ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ВОЕНКОМАТЫ, ВОИНСКИЕ ЧАСТИ, КОМЕНДАТУРЫ","Военкоматы, комиссариаты"
4963,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ИНСПЕКЦИИ,"Налоговые инспекции, службы"
4964,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - КОМИССИИ,
4965,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - КОМИТЕТЫ,
4966,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - МИНИСТЕРСТВА,
4967,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПОЛИЦИЯ – МВД,Отделения милиции
4968,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПАЛАТЫ,
4969,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПРЕДСТАВИТЕЛЬСТВА,
4970,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПРОКУРАТУРЫ,
4971,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ПРОФСОЮЗНЫЕ ОРГАНИЗАЦИИ,
4972,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - СЛУЖБЫ,
4973,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - СУДЫ,Суды;Судебные приставы
4974,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - УПРАВЛЕНИЯ,
4975,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ФОНДЫ,
4976,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ЦЕНТРЫ,
4977,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ДРУГИЕ ОФИЦИАЛЬНЫЕ ОРГАНЫ,
4978,ОФИЦИАЛЬНЫЙ РАЗДЕЛ - ТАМОЖНЯ,
4984,"НАТЯЖНЫЕ ПОТОЛКИ – ИЗГОТОВЛЕНИЕ, УСТАНОВКА",Строительные
4985,ДЕТСКИЕ РАЗВЛЕКАТЕЛЬНЫЕ ЦЕНТРЫ,Развлекательные центры
4991,ТОНИРОВКА ОКОН,"Окна, жалюзи, рольставни"
4994,"СВАДЕБНЫЕ ПРИНАДЛЕЖНОСТИ, АКСЕССУАРЫ – ПРОДАЖА, ПРОКАТ",Свадебные салоны
5000,АВИАГРУЗОПЕРЕВОЗКИ,Грузовые перевозки
5002,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – ПОЛИЦИЯ – ГИБДД,Отделения милиции
5003,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – ПОЛИЦИЯ – ОВД,Отделения милиции
5004,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – ПОЛИЦИЯ – ВНЕВЕДОМСТВЕННАЯ ОХРАНА,Отделения милиции
5005,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – НАЛОГОВЫЕ СЛУЖБЫ,"Налоговые инспекции, службы"
5007,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – МИГРАЦИОННЫЕ СЛУЖБЫ,Паспортно-визовые службы
5008,ОФИЦИАЛЬНЫЙ РАЗДЕЛ – МЧС,МЧС
5009,БАНКОМАТЫ,Банкоматы
