"_id","lorg_org_id","lorg_cat_id"
"39911","1273","1950"
"39912","1273","2970"
"39913","1273","2980"
"39944","12377","3070"
"39945","12377","3280"
"39946","12377","4540"
"39947","12377","4994"
"39949","12625","840"
"39950","12625","4560"
"39951","12625","4950"
"39952","1806","1950"
"39953","1806","2550"
"39954","1806","2560"
"39955","1806","3280"
"39975","11699","3420"
"39987","2423","3720"
"39996","12608","2450"
"39997","12608","2600"
"39998","12608","3120"
"40001","7638","1570"
"40002","7638","1860"
"40003","7638","3010"
"40004","7638","3350"
"40015","10748","610"
"40016","9798","2080"
"40017","9798","4360"
"40037","11311","3720"
"40046","1107","3420"
"40057","3081","2970"
"40084","9802","3810"
"40089","8552","2540"
"40090","8552","2550"
"40095","4147","1630"
"40099","4378","630"
"40100","10839","1000"
"40101","6561","1000"
"40102","5259","1000"
"40113","11713","2200"
"40114","8961","3420"
"40133","7149","1950"
"40134","7149","2550"
"40135","7149","2560"
"40136","7149","4710"
"40166","7181","740"
"40185","11985","1110"
"40197","10569","3720"
"40202","10899","2280"
"40203","10899","3150"
"40204","10900","2280"
"40205","10900","3150"
"40206","10901","2280"
"40207","10901","3150"
"40224","3855","2600"
"40225","3855","2650"
"40230","7147","4950"
"40231","8044","980"
"40232","8044","2900"
"40233","8044","2980"
"40268","11910","1740"
"40269","11910","2080"
"40270","11910","2550"
"40271","11910","3280"
"40272","11910","3340"
"40273","11910","3350"
"40274","11910","4670"
"40290","7369","1930"
"40299","12249","980"
"40300","12249","3810"
"40301","3488","980"
"40302","3488","1530"
"40303","3488","2900"
"40304","3488","2970"
"40305","3488","3340"
"40308","11019","3720"
"40393","6433","510"
"40394","6433","520"
"40413","5894","2180"
"40417","11750","2180"
"40436","9701","2830"
"40437","9701","2840"
"40438","9701","4950"
"40439","9701","840"
"40440","9701","4560"
"40441","9701","3700"
"40442","9701","2360"
"40465","4153","2540"
"40466","4153","2550"
"40481","2314","4790"
"40482","2314","4830"
"40483","2314","1660"
"40507","10779","3350"
"40512","12203","1600"
"40513","12203","2390"
"40514","12203","3070"
"40515","12203","3280"
"40516","12203","4670"
"40524","12184","2600"
"40525","12184","2650"
"40551","7146","2390"
"40552","7146","4670"
"40555","3480","4010"
"40593","11212","980"
"40594","11212","1530"
"40595","11212","4710"
"40596","6806","740"
"40615","2243","4750"
"40632","1083","2160"
"40633","1083","2180"
"40634","1083","2485"
"40641","11697","3720"
"40658","12231","3720"
"40661","12420","4520"
"40684","11711","2200"
"40742","2953","4520"
"40765","3360","3720"
"40769","8937","3720"
"40783","8678","1380"
"40808","3965","612"
"40862","7036","3110"
"40870","12501","2710"
"40878","10983","3030"
"40879","10983","3651"
"40880","10983","3700"
"40881","10983","4340"
"40886","8550","4985"
"40887","8096","4520"
"40899","780","4220"
"40901","1140","3720"
"40913","9545","3840"
"40917","9270","3070"
"40918","9270","3400"
"40919","12088","740"
"40920","3983","3070"
"40921","3983","3400"
"40942","3720","610"
"40971","7191","4340"
"40974","3712","1900"
"40975","3712","2180"
"40976","3712","3862"
"40999","12201","3110"
"41002","9767","3810"
"41015","1595","4964"
"41044","11695","3110"
"41048","1065","1950"
"41049","1065","2280"
"41053","9024","1600"
"41054","9024","3210"
"41055","9024","3430"
"41056","9339","1600"
"41057","9339","3840"
"41058","9339","4140"
"41059","9339","4910"
"41068","9751","940"
"41069","9751","980"
"41070","9751","2900"
"41071","9751","2970"
"41072","9751","2980"
"41073","9751","3120"
"41074","4239","3070"
"41105","6447","1840"
"41108","12347","2030"
"41109","12347","3720"
"41112","12493","4950"
"41113","10914","3630"
"41114","10914","3650"
"41115","10914","3700"
"41123","12641","1010"
"41124","12641","2030"
"41125","12641","3720"
"41139","2921","930"
"41140","2921","1250"
"41141","2921","3500"
"41190","11992","3720"
"41191","11992","2050"
"41199","3735","1110"
"41200","3735","3420"
"41204","11569","1400"
"41205","11569","2480"
"41206","11569","4560"
"41207","11569","4850"
"41211","10604","3020"
"41228","11610","4220"
"41234","7340","2390"
"41235","7340","4670"
"41250","9901","2050"
"41272","2406","1470"
"41273","8862","770"
"41274","8862","2970"
"41292","9770","4140"
"41299","9685","3950"
"41300","9685","3960"
"41308","12474","3950"
"41309","12474","3960"
"41317","11489","3810"
"41319","1935","3810"
"41322","11740","4140"
"41334","9157","1120"
"41335","9157","4500"
"41336","9157","4530"
"41338","10561","4220"
"41352","9656","4120"
"41353","7747","4120"
"41410","11151","2360"
"41443","1087","2160"
