"id_org","id_rubr"
"825","4640"
"826","3020"
"843","4140"
"843","4150"
"860","1110"
"860","3420"
"861","940"
"861","980"
"861","1530"
"861","2900"
"861","4710"
"862","510"
"862","520"
"863","520"
"865","510"
"870","510"
"870","520"
"870","580"
"870","610"
"870","611"
"872","520"
"872","612"
"877","1530"
"877","2970"
"877","2980"
"878","520"
"880","830"
"881","2900"
"882","1090"
"882","2180"
"882","2210"
"882","2550"
"882","3340"
"882","3350"
"882","3950"
"883","940"
"884","830"
"884","2180"
"885","3810"
"887","3420"
"888","830"
"890","830"
"895","830"
"895","1090"
"895","2160"
"895","2280"
"895","3950"
"895","4910"
"896","1090"
"896","3350"
"896","4910"
"900","2210"
"905","1350"
"905","4360"
"910","4230"
"917","4940"
"926","1110"
"926","3420"
"928","2970"
"928","2980"
"929","3420"
"938","1110"
"938","3420"
"940","830"
"940","1110"
"940","1950"
"940","2280"
"940","3280"
"940","3420"
"942","1110"
"942","3420"
"946","4700"
"951","3420"
"959","3420"
"962","4230"
"965","1530"
"965","1570"
"965","1590"
"967","2550"
"967","3420"
"968","3420"
"969","940"
"969","980"
"969","1530"
"969","1570"
"969","1590"
"969","2280"
"969","2900"
"969","2970"
"969","2980"
"969","3150"
"969","3340"
"969","3350"
"969","4010"
"969","4670"
"970","740"
"970","980"
"970","1090"
"970","1530"
"970","1950"
"970","2070"
"970","3280"
"970","4910"
"972","740"
"972","1110"
"972","3420"
"975","1110"
"975","3420"
"981","3420"
"983","3420"
"989","1110"
"989","3420"
"990","1110"
"990","3420"
"994","1110"
"994","3420"
"996","1570"
"996","1950"
"1001","740"
"1001","940"
"1001","980"
"1001","1110"
"1001","1530"
"1001","1570"
"1001","1590"
"1001","1950"
"1001","2280"
"1001","2980"
"1001","3280"
"1001","3350"
"1001","3420"
"1001","4640"
"1001","4700"
"1002","740"
"1002","1110"
"1002","3420"
"1003","1110"
"1003","1950"
"1003","3420"
"1005","4230"
"1009","4940"
"1010","1110"
"1010","3420"
"1012","740"
"1012","2200"
"1012","4230"
"1014","4230"
"1016","1110"
"1016","1570"
"1016","2280"
"1016","3280"
"1016","3420"
"1018","1110"
"1018","2280"
"1018","3420"
"1022","740"
"1022","4230"
"1039","4360"
"1040","1110"
"1040","2280"
"1042","4230"
"1045","1110"
"1045","3420"
"1054","4230"
"1056","2970"
"1056","2980"
"1057","1950"
"1057","2070"
"1058","2070"
"1060","2070"
"1061","1950"
"1061","3950"
"1065","1950"
"1065","2280"
"1068","1950"
"1068","2070"
"1077","1950"
"1078","4610"
"1083","2160"
"1083","2180"
"1083","2485"
"1083","2560"
"1086","2180"
"1087","2160"
"1087","2180"
"1088","2180"
"1088","2485"
"1093","2550"
"1093","2560"
"1093","4400"
"1099","1670"
"1099","2550"
"1099","2560"
"1102","2540"
"1102","2550"
"1102","2560"
"1102","4400"
"1107","3420"
"1127","1110"
"1127","1590"
"1127","3420"
"1132","1110"
"1132","3420"
"1138","740"
"1138","1110"
"1138","1570"
"1138","1950"
"1138","3350"
"1138","3420"
"1138","3560"
"1141","980"
"1141","2970"
"1141","4360"
"1142","740"
"1142","940"
"1142","980"
"1142","1570"
"1142","1950"
"1142","2280"
"1142","3120"
"1142","3280"
"1142","3340"
"1144","2900"
"1146","1530"
"1146","1570"
"1146","4380"
"1148","980"
"1148","2280"
"1148","2900"
"1148","2970"
"1148","2980"
"1148","3120"
"1148","3280"
"1148","4710"
"1153","4360"
"1153","4640"
"1154","4360"
"1155","980"
"1155","2900"
"1159","940"
"1161","770"
"1161","2360"
"1161","4360"
"1163","2980"
"1164","2970"
"1164","2980"
"1165","2980"
"1166","2900"
"1166","2980"
"1170","2280"
"1170","3420"
"1201","1950"
"1201","2070"
"1256","2280"
"1261","980"
"1261","2280"
"1266","4010"
"1268","1110"
"1268","2280"
"1269","3340"
"1270","980"
"1270","1110"
"1270","1950"
"1270","4360"
"1273","830"
"1273","940"
"1273","980"
"1273","1530"
"1273","1570"
"1273","1950"
"1273","2280"
"1273","2900"
"1273","2970"
"1273","2980"
"1274","3950"
"1275","4010"
"1276","980"
"1276","1570"
"1276","3280"
"1276","4710"
"1276","4940"
"1279","720"
"1279","1110"
"1279","3840"
"1279","4640"
"1281","4910"
"1288","1950"
"1288","3420"
"1288","4640"
"1324","4360"
"1331","1950"
"1331","2960"
"1339","2450"
"1339","2600"
"1339","3120"
"1343","1110"
"1343","3360"
"1343","4540"
"1344","740"
"1345","3280"
"1346","3090"
"1346","3400"
"1348","3280"
"1348","3350"
"1348","4910"
"1350","1950"
"1352","2580"
"1358","1110"
"1358","3340"
"1358","3350"
"1358","4640"
"1360","2540"
"1360","2550"
"1360","2710"
"1360","3010"
"1362","610"
"1362","2540"
"1362","2550"
"1362","2710"
"1364","1600"
"1364","1930"
"1364","2330"
"1364","2870"
"1364","3040"
"1364","4140"
"1364","4470"
"1364","4984"
"1367","4140"
"1367","4640"
"1368","740"
"1368","980"
"1368","2280"
"1368","3420"
"1369","3020"
"1370","1530"
"1370","1570"
"1372","1150"
"1372","2820"
"1372","3050"
"1372","3850"
"1373","1420"
"1373","2320"
"1373","2870"
"1373","3010"
"1373","3840"
"1373","4140"
